Position,Track Name,Artist,Streams,URL,Week
145,Shape of You,Ed Sheeran,5436814,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2020-03-20--2020-03-27
146,Can We Kiss Forever?,Kina,5415961,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne,2020-03-20--2020-03-27
147,Fantasias - Remix,Rauw Alejandro,5404430,https://open.spotify.com/track/0A37XY67wSdGqkGjtfW6aV,2020-03-20--2020-03-27
148,Make You Mine,PUBLIC,5339079,https://open.spotify.com/track/5iFwAOB2TFkPJk8sMlxP8g,2020-03-20--2020-03-27
149,Bichiyal,Bad Bunny,5321166,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX,2020-03-20--2020-03-27
150,How Do You Sleep?,Sam Smith,5320823,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,2020-03-20--2020-03-27
151,SICKO MODE,Travis Scott,5242229,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2020-03-20--2020-03-27
152,Moonlight,XXXTENTACION,5241737,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2020-03-20--2020-03-27
153,Lo Mein,Lil Uzi Vert,5231134,https://open.spotify.com/track/6CUP2khYzdphXebxVTfPE3,2020-03-20--2020-03-27
154,ocean eyes,Billie Eilish,5225978,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU,2020-03-20--2020-03-27
155,"Alone, Pt. II",Alan Walker,5143229,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3,2020-03-20--2020-03-27
156,Perfect,Ed Sheeran,5135148,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2020-03-20--2020-03-27
157,Dior,Pop Smoke,5109733,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep,2020-03-20--2020-03-27
158,No Judgement,Niall Horan,5082563,https://open.spotify.com/track/2sGF7DBXvL2GjkbG606m1G,2020-03-20--2020-03-27
